Pytanie;A;B;C;D;E;F;G;Poprawne
"Administrator systemu baz danych musi dysponować możliwością odczytu danych wszystkich tabel bazy danych Oracle. W związku z tym:";"Należy założyć, iż administrator nie nadużywa swoich uprawnień, gdyż jest osobą szczególnego zaufania i nie istnieją mechanizmy dedykowane dla takiej sytuacji";"Należy wykorzystać mechanizmy audytu";"Należy wykorzystać mechanizmy transakcyjnej replikacji danych w celu ograniczenia ryzyka nieuzasadnionego odczytu danych";"Należy regularnie wykonywać pełne kopie bezpieczeństwa";;;;2
"System NoSQL to typowo:";"systemy rozwijane w XXI wieku";"systemy bazujące na formalnej teorii NoSQL, stanowiącej rozwinięcie teorii systemów relacyjnych";"systemy bazujące na matematycznej teorii NoSQL, stanowiącej zanegowanie teorii systemów relacyjnych";"systemu typu open source";"systemy relacyjne; systemy rozwijane w latach siedemdziesiątych XX wieku, przed sformułowaniem założeń języka SQL";;;1,4
"W klastrze cold-failover";"Przed wystąpieniem awarii w przetwarzaniu zapytań SQL uczestniczą wszystkie serwery";"Przed wystąpieniem awarii w przetwarzaniu zapytań SQL uczestniczy jeden serwer";"Po wystąpieniu awarii w przetwarzaniu zapytań SQL uczestniczą SQL uczestniczą wszystkie serwery";"Po wystąpieniu awarii w przetwarzanoi zapytań SQL uczestniczy zawsze co najwyżej jeden";;;;2,4
"Pula połączeń to sposób na";"obniżanie obciążenia serwera otwieraniem i zamykanem połączeń";"Poprawę wydajności aplikacji";"Zmniejszenie liczby zapytań SQL przesłanych przez jedno połączenie";"Rezygnację ze stosowania zapytań SQL w odwołaniach do bazy danych";"Rezygnację z konieczności wykorzystania przyrostowych kopii bezpieczeństwa";;;1,2
"W przypadku wykonania transakcji w Ms SQL Server w trybie READ COMMITED:";"Istnieje ryzyko tzw. brudnych odczytów (ang. dirty read) w wynikach zapytań SELECT wykonywanych w transakcji";"Istnieje ryzyko tzw. niepowtarzalnych odczytów (ang. nonrepeatable read) w wynikach zapytań SELECT wykonywanych w transakcji";"Uzyskujemy najwyższą możliwą wydajność realizacji zapytań w porównaniu do innych poziomów izolacji transakcji";"Zapytania SQL SELECT nigdy nie zostaną wstrzymane przez blokady";;;;2
"Wdrożenia rozwiązań określanych jako big data odznaczają się odznaczają się zazwyczaj wykorzystaniem danych:";"o znacznej wielkości mierzonej np. w liczbie bajtów";"o wyższej jakości niż w relacyjnych bazach danych";"o niższej jakości niż w relacyjnych bazach danych";"składowanych wyłącznie w postaci tabel definiownych a priori w tzw. trybie schema-on-write";"o różnorodnej postaci, w tym np. wpisów na forach internetowych, czy też logów opisujących zachowania użytkowników w aplikacjach WWW";;;1,3,5
"Normalizacja tabeli do pierwszej postaci normalnej";"jest procesem o charakterze teoretycznym, pomijanym w praktycznych zastosowaniach";"wymaga m. in. identyfikacji klucza głównego";"zawsze wymaga identyfikacji klucza obcego w tabeli";"dopuszcza wartości nieatomowe w kolumnach tabeli";"nie pozwala na zależność wartości kolumny od innych kolumn nie wchodzących w skład klucza głównego";;;2
"Relacja wiele do wielu pomiędzy tabelą A i B jest reprezentowana poprzez:";"Dodatkowe klucze obce w tabelach A i B";"Dodatkowy klucz obcy w tabeli A wskazujący na tabelę B";"Dodatkowy klucz obcy w tabeli B wskazujący na tabelę A";"Dodatkową tabelę C bez kluczy obcych";"Dodatkową tabelę C z kluczami obcymi wskazującymi na tabele A i B";;;5
"Warstwy w systemach informacji przestrzennej dzielimy na:";"Rastrowe";"Faktów";"NoSQL";"Wektorowe";"Długotrwałe transakcyjne";;;1,4
"W systemie Apache HBase:";"typy danych dla poszczególnych kolumn nie sa deklarowane a priori";"lista kolumn może być różna w każdym rekordzie";"lista kolumn jest identyczna w każdym rekordzie";"dane zawarte w kolumnie moga być różnych typów w poszczególnych rekordach";"wykorzystywane są klucze obce i inne rozwiązania zaczerpnięte z relacyjnych baz danych";;;1,2,4
